epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.099,1.14374,5.8624,0.02674,0,0,0,0,0,51.1875,0,0.00015003,0.00015003,0.00015003
2,15.8109,0.9443,5.76651,0.02096,0,0,0,0,0,51.1719,0,0.000313594,0.000313594,0.000313594
3,17.3605,0.91692,5.42997,0.0216,0,0,0,0,0,50.6406,0,0.000473858,0.000473858,0.000473858
4,18.8669,0.90614,5.11511,0.02086,0,0,0,0,0,47.5469,0,0.000630821,0.000630821,0.000630821
5,20.3577,0.96536,5.10496,0.02255,0,0,0,0,0,40.7656,0,0.000784484,0.000784484,0.000784484
6,21.8381,0.89291,4.42066,0.02031,0,0,0,0,0,38.0078,0,0.000934845,0.000934845,0.000934845
7,23.3242,0.97833,4.28756,0.0225,0,0,0,0,0,33.8281,0,0.00108191,0.00108191,0.00108191
8,24.8938,1.01791,4.0381,0.02433,0,0,0,0,0,32.5234,0,0.00122567,0.00122567,0.00122567
9,26.3552,1.00627,3.60149,0.02187,0,0,0,0,0,32.1016,0,0.00136613,0.00136613,0.00136613
10,27.8373,0.99436,3.54954,0.02276,0,0,0,0,0,32.1719,0,0.00150329,0.00150329,0.00150329
11,29.2999,0.97752,3.34429,0.02194,0,0,0,0,0,32.25,0,0.00150197,0.00150197,0.00150197
12,30.7644,0.91801,3.11211,0.02042,0,0,0,0,0,37.9219,0,0.00148546,0.00148546,0.00148546
13,32.2396,1.00395,3.04388,0.02232,0,0,0,0,0,36.9219,0,0.00146896,0.00146896,0.00146896
14,33.86,1.00629,2.94555,0.02292,0,0,0,0,0,34.8828,0,0.00145246,0.00145246,0.00145246
15,35.3443,0.96151,2.7791,0.02154,0,0,0,0,0,32.4922,0,0.00143595,0.00143595,0.00143595
16,36.8008,0.97916,2.71465,0.02242,0,0,0,0,0,33.8125,0,0.00141945,0.00141945,0.00141945
17,38.2892,1.0618,2.71361,0.0256,0,0,0,0,0,41.2656,0,0.00140295,0.00140295,0.00140295
18,39.7696,0.96324,2.50233,0.02186,0,0,0,0,0,41.8359,0,0.00138644,0.00138644,0.00138644
19,41.3999,0.97081,2.41365,0.02206,0,0,0,0,0,41.0234,0,0.00136994,0.00136994,0.00136994
20,42.8717,0.96936,2.27063,0.02158,0,0,0,0,0,32.5781,0,0.00135344,0.00135344,0.00135344
21,44.3418,0.97357,2.13508,0.02176,0,0,0,0,0,29.4062,0,0.00133693,0.00133693,0.00133693
22,45.8056,0.91599,2.01035,0.0207,0,0,0,0,0,31.8125,0,0.00132043,0.00132043,0.00132043
23,47.2632,0.966,1.96881,0.02191,0,0,0,0,0,36.6172,0,0.00130393,0.00130393,0.00130393
24,48.8497,0.89107,1.77299,0.01925,0,0,0,0,0,36.6484,0,0.00128742,0.00128742,0.00128742
25,50.3087,0.92884,1.9244,0.02127,0,0,0,0,0,31.6641,0,0.00127092,0.00127092,0.00127092
26,51.7719,0.919,1.75155,0.02145,0,0,0,0,0,29.6172,0,0.00125442,0.00125442,0.00125442
27,53.2551,1.02877,1.88302,0.02521,0,0,0,0,0,27.2969,0,0.00123791,0.00123791,0.00123791
28,54.8028,0.94111,1.62765,0.02075,0,0,0,0,0,29.9062,0,0.00122141,0.00122141,0.00122141
