epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0504,1.4411,3.46997,1.81338,0.00358,1,0.45802,0.29237,1.40466,3.09014,2.04103,0.0001667,0.0001667,0.0001667
2,19.0707,1.18287,2.91507,1.49375,0.00351,1,0.59481,0.3797,1.17624,2.92424,1.64258,0.000346604,0.000346604,0.000346604
3,20.9195,1.13255,2.39196,1.45581,0.00336,1,0.62551,0.33009,1.39316,2.90858,1.83783,0.000522878,0.000522878,0.000522878
4,22.7539,1.26816,2.18087,1.51471,0.04716,1,0.83218,0.43473,1.45233,2.60188,2.28723,0.000695521,0.000695521,0.000695521
5,24.6062,1.30618,2.00587,1.51467,0.8231,0.09756,0.46658,0.236,1.60974,2.62951,2.46518,0.000864533,0.000864533,0.000864533
6,26.5146,1.3135,1.91396,1.50672,0.6957,0.40244,0.45894,0.22701,1.53648,2.56876,2.33121,0.00102991,0.00102991,0.00102991
7,28.2949,1.31208,1.92078,1.46856,0.72346,0.46031,0.73482,0.39981,1.52765,2.40051,2.34982,0.00119166,0.00119166,0.00119166
8,30.1404,1.26768,1.82643,1.44661,0.77786,0.72286,0.85424,0.48447,1.48761,2.17262,2.35721,0.00134978,0.00134978,0.00134978
9,31.9408,1.30287,1.6286,1.46335,0.78999,0.67544,0.75306,0.40815,1.52777,2.10711,2.13002,0.00150427,0.00150427,0.00150427
10,33.8735,1.27442,1.73369,1.453,0.80774,0.75402,0.85497,0.43369,1.51259,1.91621,2.38806,0.00151847,0.00151847,0.00151847
11,35.6008,1.29578,1.62734,1.4498,0.77374,0.89409,0.91093,0.522,1.3889,1.72069,2.04189,0.00150197,0.00150197,0.00150197
12,37.4887,1.19713,1.51265,1.4244,0.86157,0.69961,0.81307,0.47993,1.31117,1.82527,1.66951,0.00148546,0.00148546,0.00148546
13,39.2426,1.2863,1.57023,1.48888,0.7306,0.74262,0.78916,0.48821,1.31511,1.75203,1.68833,0.00146896,0.00146896,0.00146896
14,41.0194,1.15294,1.3868,1.39011,0.69749,0.77728,0.85861,0.54071,1.31206,1.52656,1.72492,0.00145246,0.00145246,0.00145246
15,42.7715,1.18306,1.38805,1.38261,0.6679,0.68421,0.89313,0.51298,1.46316,1.60629,1.84702,0.00143595,0.00143595,0.00143595
16,44.5431,1.15544,1.40517,1.38267,0.82072,0.75173,0.86504,0.48878,1.46353,1.50768,1.8254,0.00141945,0.00141945,0.00141945
17,46.3446,1.15386,1.35658,1.35774,0.89955,0.84307,0.91149,0.57856,1.31529,1.24754,1.65788,0.00140295,0.00140295,0.00140295
18,48.1466,1.15511,1.2751,1.34977,0.93598,0.9228,0.93364,0.57734,1.35386,1.28687,1.76248,0.00138644,0.00138644,0.00138644
19,49.9491,1.14131,1.36287,1.39019,0.81492,0.79712,0.85837,0.49991,1.32962,1.37972,1.77032,0.00136994,0.00136994,0.00136994
20,51.7279,1.14008,1.25203,1.31628,0.91184,0.92467,0.95038,0.59569,1.30311,1.25901,1.64641,0.00135344,0.00135344,0.00135344
21,53.6046,1.12363,1.30258,1.34639,0.63085,0.89155,0.91723,0.52809,1.47152,1.59168,1.87934,0.00133693,0.00133693,0.00133693
22,55.3356,1.20155,1.23954,1.38139,0.60156,0.40401,0.6173,0.35546,1.37087,2.5757,1.78164,0.00132043,0.00132043,0.00132043
23,57.0786,1.13519,1.20709,1.34662,0.82329,0.78862,0.91636,0.52987,1.40723,1.90086,1.80342,0.00130393,0.00130393,0.00130393
24,58.9108,1.15144,1.16584,1.32958,0.95963,0.94016,0.97406,0.58059,1.38861,1.6547,1.74899,0.00128742,0.00128742,0.00128742
25,60.6623,1.09861,1.14563,1.33814,0.8771,0.92444,0.92412,0.59742,1.19834,1.34964,1.58136,0.00127092,0.00127092,0.00127092
